,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
127,The Emperor's New Groove,2000,"Animation, Adventure, Comedy            ",7.4,Emperor Kuzco is turned into a llama by his ex-administrator Yzma and must now regain his throne with the help of Pacha the gentle llama herder.,"    DirectorMark Dindal     StarsDavid Spade, John Goodman, Eartha Kitt, Patrick Warburton","1,87,523",78.0,89.3
128,Deepwater Horizon,2016,"Action, Drama, History            ",7.1,A dramatization of the disaster in April 2010 when the offshore drilling rig called the Deepwater Horizon exploded resulting in the worst oil spill in American history.,"    DirectorPeter Berg     StarsMark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","1,58,184",107.0,61.43
129,The Dictator,2012,Comedy            ,6.4,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,"    DirectorLarry Charles     StarsSacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley","2,87,003",83.0,59.65
130,Green Room,2015,"Horror, Thriller            ",7.0,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,"    DirectorJeremy Saulnier     StarsAnton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart","1,12,522",95.0,3.22
131,The Post,2017,Drama            ,7.2,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,"    DirectorSteven Spielberg     StarsMeryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk","1,41,624",116.0,81.9
132,Spartacus,1960,"Adventure, Biography, Drama            ",7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,"    DirectorStanley Kubrick     StarsKirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton","1,28,685",197.0,30.0
133,Tonari no Totoro,1988,"Animation, Family, Fantasy            ",8.2,When two girls move to the country to be near their ailing mother they have adventures with the wondrous forest spirits who live nearby.,"    DirectorHayao Miyazaki     StarsHitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi","3,05,790",86.0,1.11
134,The Quick and the Dead,1995,"Action, Romance, Thriller            ",6.4,A female gunfighter returns to a frontier town where a dueling tournament is being held which she enters in an effort to avenge her father's death.,"    DirectorSam Raimi     StarsSharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio","88,608",107.0,18.64
135,Knocked Up,2007,"Comedy, Romance            ",6.9,For fun-loving party animal Ben Stone the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.,"    DirectorJudd Apatow     StarsSeth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann","3,56,979",129.0,148.73
136,Fatal Attraction,1987,"Drama, Thriller            ",6.9,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"    DirectorAdrian Lyne     StarsMichael Douglas, Glenn Close, Anne Archer, Ellen Latzen","79,936",119.0,156.65
